time_s,dt_ms,RPM,ICV,IntB1,IntB2,O2_B1,O2_B2,AddB1,AddB2,Load,Timing
0.00,0,960.000,-0.994,0.000,1.000,0.806,0.801,-3.000,2.000,1.350,1.500
2.13,2132,930.000,-0.994,1.000,-1.000,0.146,0.058,-3.000,2.000,1.300,0.750
4.28,2150,950.000,-0.994,-2.000,-1.000,0.327,0.757,-3.000,2.000,1.350,1.500
6.43,2149,920.000,-0.994,2.000,2.000,0.791,0.693,-3.000,2.000,1.300,1.500
8.59,2160,900.000,-0.994,0.000,-3.000,0.087,0.058,-3.000,2.000,1.300,0.750
10.74,2148,940.000,-0.994,-1.000,0.000,0.786,0.786,-3.000,2.000,1.350,1.500
12.89,2152,930.000,-0.994,1.000,0.000,0.121,0.058,-3.000,2.000,1.300,0.750
15.04,2149,950.000,-0.994,-2.000,0.000,0.747,0.781,-3.000,2.000,1.350,1.500
17.19,2153,930.000,-0.994,2.000,1.000,0.659,0.097,-3.000,2.000,1.300,0.750
19.34,2147,930.000,-0.994,-2.000,-2.000,0.708,0.659,-3.000,2.000,1.350,0.750
21.49,2149,940.000,-0.994,2.000,2.000,0.723,0.733,-3.000,2.000,1.300,0.750
23.64,2151,940.000,-0.994,-3.000,-3.000,0.107,0.058,-3.000,2.000,1.300,0.750
25.79,2152,950.000,-0.994,3.000,2.000,0.781,0.791,-3.000,2.000,1.300,1.500
27.94,2149,920.000,-0.994,0.000,-1.000,0.092,0.053,-3.000,2.000,1.300,0.000
30.09,2149,950.000,-0.994,-1.000,0.000,0.777,0.786,-3.000,2.000,1.300,1.500
32.24,2151,950.000,-0.994,1.000,1.000,0.605,0.072,-3.000,2.000,1.300,1.500
34.39,2148,930.000,-0.994,-3.000,-1.000,0.082,0.698,-3.000,2.000,1.300,0.750
36.54,2150,950.000,-0.994,-1.000,3.000,0.791,0.742,-3.000,2.000,1.350,1.500
38.69,2151,910.000,-0.994,2.000,1.000,0.092,0.053,-3.000,2.000,1.300,0.750
40.84,2150,950.000,-0.994,-1.000,-1.000,0.772,0.747,-3.000,2.000,1.350,3.000
42.99,2150,940.000,-0.994,1.000,3.000,0.092,0.713,-3.000,2.000,1.300,0.750
45.14,2150,950.000,-0.994,0.000,-2.000,0.791,0.468,-3.000,2.000,1.350,1.500
47.29,2151,930.000,-0.994,1.000,3.000,0.640,0.742,-3.000,2.000,1.300,1.500
49.44,2150,930.000,-0.994,-3.000,-3.000,0.097,0.209,-3.000,2.000,1.300,0.750
51.59,2150,940.000,-0.994,3.000,3.000,0.781,0.757,-3.000,2.000,1.300,1.500
53.74,2148,930.000,-0.994,-1.000,-1.000,0.082,0.053,-3.000,2.000,1.300,0.000
55.89,2152,960.000,-0.994,0.000,0.000,0.791,0.791,-3.000,2.000,1.300,1.500
58.04,2149,910.000,-0.994,-1.000,1.000,0.072,0.072,-3.000,2.000,1.300,0.750
