time_s,dt_ms,RPM,ICV,IntB1,IntB2,O2_B1,O2_B2,AddB1,AddB2,Load,Timing
94.55,2149,830.000,-0.994,-3.000,1.000,0.087,0.087,-3.000,2.000,1.250,3.750
96.70,2151,830.000,-0.994,3.000,-1.000,0.190,0.116,-3.000,2.000,1.250,2.250
98.85,2150,860.000,-0.994,-1.000,-1.000,0.806,0.777,-3.000,2.000,1.300,3.000
101.00,2148,820.000,-0.994,-2.000,0.000,0.072,0.068,-3.000,2.000,1.250,2.250
103.15,2153,850.000,-0.994,3.000,0.000,0.767,0.777,-3.000,2.000,1.250,2.250
105.30,2150,830.000,-0.994,-3.000,1.000,0.082,0.508,-3.000,2.000,1.250,2.250
107.45,2149,840.000,-0.994,3.000,2.000,0.767,0.141,-3.000,2.000,1.250,2.250
109.60,2151,830.000,-0.994,-3.000,-2.000,0.121,0.718,-3.000,2.000,1.250,3.750
111.75,2149,840.000,-0.994,2.000,2.000,0.723,0.288,-3.000,2.000,1.250,2.250
113.90,2149,850.000,-0.994,-2.000,-2.000,0.752,0.708,-3.000,2.000,1.300,4.500
116.05,2150,830.000,-0.994,1.000,1.000,0.082,0.063,-3.000,2.000,1.250,2.250
118.20,2148,870.000,-0.994,1.000,0.000,0.811,0.767,-3.000,2.000,1.250,3.000
