time_s,dt_ms,RPM,ICV,IntB1,IntB2,O2_B1,O2_B2,AddB1,AddB2,Load,Timing
0.00,0,830.000,-0.994,0.000,0.000,0.072,0.777,-3.000,2.000,1.250,2.250
2.11,2105,860.000,-0.994,0.000,2.000,0.801,0.439,-3.000,2.000,1.250,2.250
4.26,2151,840.000,-0.994,0.000,-2.000,0.077,0.581,-3.000,2.000,1.250,2.250
6.40,2139,860.000,-0.994,0.000,2.000,0.801,0.664,-3.000,2.000,1.250,4.500
8.55,2151,810.000,-0.994,0.000,-2.000,0.092,0.684,-3.000,2.000,1.250,2.250
10.70,2149,860.000,-0.994,0.000,2.000,0.703,0.693,-3.000,2.000,1.250,2.250
12.85,2150,840.000,-0.994,1.000,-2.000,0.684,0.092,-3.000,2.000,1.250,2.250
15.00,2150,830.000,-0.994,-1.000,2.000,0.068,0.777,-3.000,2.000,1.250,2.250
17.13,2139,830.000,-0.994,0.000,1.000,0.791,0.522,-3.000,2.000,1.250,3.750
19.28,2150,830.000,-0.994,-2.000,-3.000,0.077,0.649,-3.000,2.000,1.300,4.500
21.44,2151,840.000,-0.994,3.000,2.000,0.239,0.077,-3.000,2.000,1.250,2.250
23.58,2141,850.000,-0.994,-1.000,-1.000,0.728,0.762,-3.000,2.000,1.250,2.250
25.70,2127,870.000,-0.994,-1.000,2.000,0.796,0.718,-3.000,2.000,1.250,3.000
27.85,2151,830.000,-0.994,1.000,-1.000,0.082,0.058,-3.000,2.000,1.250,3.750
30.00,2149,850.000,-0.994,-1.000,3.000,0.786,0.762,-3.000,2.000,1.250,4.500
32.15,2151,820.000,-0.994,-1.000,-1.000,0.068,0.053,-3.000,2.000,1.250,2.250
34.30,2150,850.000,-0.994,3.000,3.000,0.752,0.718,-3.000,2.000,1.250,3.750
36.45,2151,840.000,-0.994,-2.000,-1.000,0.733,0.723,-3.000,2.000,1.250,2.250
38.60,2150,820.000,-0.994,1.000,1.000,0.082,0.107,-3.000,2.000,1.250,3.750
40.75,2149,850.000,-0.994,-1.000,-1.000,0.781,0.733,-3.000,2.000,1.300,3.000
42.90,2151,820.000,-0.994,0.000,2.000,0.077,0.434,-3.000,2.000,1.250,3.750
45.05,2148,840.000,-0.994,0.000,-2.000,0.796,0.640,-3.000,2.000,1.300,3.000
47.20,2152,820.000,-0.994,-1.000,2.000,0.068,0.151,-3.000,2.000,1.250,3.750
49.35,2149,860.000,-0.994,3.000,0.000,0.781,0.772,-3.000,2.000,1.300,6.000
51.50,2150,820.000,-0.994,2.000,2.000,0.733,0.610,-3.000,2.000,1.250,6.000
53.65,2151,820.000,-0.994,-1.000,3.000,0.072,0.752,-3.000,2.000,1.250,5.250
55.81,2158,840.000,-0.994,3.000,2.000,0.786,0.288,-3.000,2.000,1.250,3.000
57.96,2152,830.000,-0.994,-3.000,-2.000,0.620,0.718,-3.000,2.000,1.300,2.250
60.11,2149,850.000,-0.994,1.000,2.000,0.175,0.170,-3.000,2.000,1.250,2.250
62.26,2149,850.000,-0.994,-2.000,-2.000,0.772,0.659,-3.000,2.000,1.300,3.000
64.41,2149,840.000,-0.994,0.000,2.000,0.082,0.151,-3.000,2.000,1.250,2.250
66.56,2151,850.000,-0.994,0.000,-1.000,0.777,0.693,-3.000,2.000,1.300,4.500
68.72,2160,830.000,-0.994,0.000,2.000,0.082,0.752,-3.000,2.000,1.250,3.750
70.87,2151,830.000,-0.994,-1.000,1.000,0.737,0.112,-3.000,2.000,1.250,2.250
73.02,2148,850.000,-0.994,2.000,-2.000,0.767,0.718,-3.000,2.000,1.250,3.000
75.19,2171,840.000,-0.994,-3.000,1.000,0.087,0.136,-3.000,2.000,1.250,2.250
77.34,2151,850.000,-0.994,3.000,-2.000,0.757,0.297,-3.000,2.000,1.250,2.250
79.49,2150,850.000,-0.994,-3.000,0.000,0.468,0.762,-3.000,2.000,1.300,3.000
81.64,2149,830.000,-0.994,2.000,1.000,0.151,0.058,-3.000,2.000,1.250,2.250
83.80,2161,850.000,-0.994,-1.000,0.000,0.772,0.772,-3.000,2.000,1.250,2.250
85.95,2148,840.000,-0.994,2.000,1.000,0.703,0.063,-3.000,2.000,1.250,3.750
88.10,2151,860.000,-0.994,0.000,0.000,0.811,0.781,-3.000,2.000,1.250,4.500
90.25,2150,840.000,-0.994,-1.000,-1.000,0.082,0.063,-3.000,2.000,1.250,2.250
92.40,2150,840.000,-0.994,3.000,0.000,0.733,0.777,-3.000,2.000,1.250,2.250
