time_s,dt_ms,RPM,ICV,IntB1,IntB2,O2_B1,O2_B2,AddB1,AddB2,Load,Timing
135.36,2141,820.000,-0.994,2.000,3.000,0.786,0.077,-3.000,2.000,1.300,4.500
137.51,2150,800.000,-0.994,2.000,1.000,0.068,0.664,-3.000,2.000,1.300,2.250
139.67,2153,830.000,-0.994,6.000,5.000,0.786,0.713,-3.000,2.000,1.300,4.500
141.81,2147,830.000,-0.994,0.000,0.000,0.762,0.737,-3.000,2.000,1.350,4.500
143.96,2152,790.000,-0.994,2.000,5.000,0.068,0.733,-3.000,2.000,1.300,3.000
146.11,2149,830.000,-0.994,3.000,3.000,0.816,0.116,-3.000,2.000,1.300,6.000
148.26,2150,800.000,-0.994,1.000,0.000,0.317,0.767,-3.000,2.000,1.300,4.500
150.41,2150,820.000,-0.994,-2.000,2.000,0.718,0.640,-3.000,2.000,1.350,3.000
152.56,2151,810.000,-0.994,2.000,-2.000,0.092,0.087,-3.000,2.000,1.300,6.000
154.71,2150,820.000,-0.994,0.000,3.000,0.772,0.767,-3.000,2.000,1.300,6.000
156.86,2151,800.000,-0.994,1.000,-3.000,0.112,0.684,-3.000,2.000,1.300,3.000
159.01,2148,820.000,-0.994,0.000,1.000,0.791,0.708,-3.000,2.000,1.300,4.500
161.15,2140,790.000,-0.994,-2.000,-4.000,0.068,0.288,-3.000,2.000,1.300,2.250
163.31,2160,830.000,-0.994,3.000,2.000,0.757,0.102,-3.000,2.000,1.300,2.250
165.47,2159,810.000,-0.994,-2.000,-1.000,0.772,0.777,-3.000,2.000,1.350,6.750
167.62,2150,750.000,-0.994,-1.000,0.000,0.068,0.072,-3.000,2.000,1.300,2.250
169.77,2150,830.000,-0.994,4.000,4.000,0.757,0.786,-3.000,2.000,1.300,3.000
171.94,2170,820.000,-0.994,-1.000,-2.000,0.762,0.757,-3.000,2.000,1.300,6.750
174.07,2131,790.000,-0.994,0.000,1.000,0.063,0.586,-3.000,2.000,1.300,3.750
176.22,2150,830.000,-0.994,4.000,4.000,0.806,0.777,-3.000,2.000,1.300,3.000
178.37,2147,830.000,-0.994,-2.000,-2.000,0.791,0.767,-3.000,2.000,1.350,12.000
180.52,2151,770.000,-0.994,-1.000,-1.000,0.072,0.058,-3.000,2.000,1.300,3.000
182.67,2149,820.000,-0.994,3.000,3.000,0.781,0.781,-3.000,2.000,1.300,3.000
184.82,2151,800.000,-0.994,-1.000,-1.000,0.072,0.116,-3.000,2.000,1.300,2.250
186.97,2151,840.000,-0.994,2.000,2.000,0.781,0.674,-3.000,2.000,1.300,4.500
189.12,2147,830.000,-0.994,-2.000,-2.000,0.777,0.742,-3.000,2.000,1.350,6.750
191.27,2151,800.000,-0.994,-1.000,0.000,0.068,0.048,-3.000,2.000,1.300,3.000
193.42,2151,820.000,-0.994,3.000,1.000,0.781,0.781,-3.000,2.000,1.300,8.250
195.57,2150,800.000,-0.994,-3.000,1.000,0.160,0.322,-3.000,2.000,1.350,4.500
197.71,2139,830.000,-0.994,2.000,-1.000,0.136,0.640,-3.000,2.000,1.300,3.000
199.86,2150,820.000,-0.994,-1.000,3.000,0.791,0.772,-3.000,2.000,1.350,6.000
202.01,2150,780.000,-0.994,0.000,-3.000,0.077,0.053,-3.000,2.000,1.350,4.500
204.16,2149,840.000,-0.994,5.000,3.000,0.806,0.116,-3.000,2.000,1.300,4.500
206.31,2149,830.000,-0.994,-1.000,0.000,0.806,0.796,-3.000,2.000,1.300,6.000
208.46,2152,800.000,-0.994,-3.000,-5.000,0.077,0.385,-3.000,2.000,1.350,4.500
210.60,2139,820.000,-0.994,1.000,1.000,0.082,0.048,-3.000,2.000,1.300,4.500
212.75,2152,830.000,-0.994,1.000,0.000,0.791,0.786,-3.000,2.000,1.300,4.500
214.90,2149,790.000,-0.994,-1.000,-4.000,0.072,0.385,-3.000,2.000,1.300,3.000
217.05,2151,840.000,-0.994,3.000,1.000,0.737,0.063,-3.000,2.000,1.300,3.000
219.20,2149,820.000,-0.994,-1.000,0.000,0.777,0.796,-3.000,2.000,1.350,4.500
221.35,2150,780.000,-0.994,0.000,-2.000,0.107,0.063,-3.000,2.000,1.300,4.500
223.50,2151,820.000,-0.994,-3.000,2.000,0.752,0.767,-3.000,2.000,5.750,24.750
225.65,2152,2550.000,-0.994,-9.000,-11.000,0.825,0.752,-3.000,2.000,1.350,3.000
235.21,9555,810.000,-0.994,-14.000,-10.000,0.077,0.058,-3.000,2.000,1.350,2.250
237.36,2152,820.000,-0.994,-8.000,-5.000,0.063,0.077,-3.000,2.000,1.300,3.000
239.51,2151,840.000,-0.994,-3.000,-3.000,0.082,0.737,-3.000,2.000,1.300,4.500
